UMLS:C1836485	MONDO:0012231
UMLS:C4310741	MONDO:0014891
UMLS:C4310742	MONDO:0014890
UMLS:C0020433	MONDO:0024288
UMLS:C0392666	MONDO:0024283
UMLS:C1518233	MONDO:0024282
UMLS:C0272254	MONDO:0024285
UMLS:C0685121	MONDO:0024286
UMLS:C0033247	MONDO:0024278
UMLS:C0238104	MONDO:0024279
UMLS:C0021832	MONDO:0024270
UMLS:C0348287	MONDO:0024271
UMLS:C1333820	MONDO:0024276
UMLS:C1836007	MONDO:0012298
UMLS:C1836006	MONDO:0012299
UMLS:C2750389	MONDO:0012292
UMLS:C1836027	MONDO:0012293
UMLS:C1836033	MONDO:0012290
UMLS:C1836032	MONDO:0012291
UMLS:C1836022	MONDO:0012296
UMLS:C1836010	MONDO:0012297
UMLS:C1836023	MONDO:0012294
UMLS:C0343047	MONDO:0012295
UMLS:C0344058	MONDO:0000299
UMLS:C0012482	MONDO:0000298
UMLS:C2980104	MONDO:0024268
UMLS:C0162626	MONDO:0000297
UMLS:C0338428	MONDO:0000291
UMLS:C0300934	MONDO:0000290
UMLS:C0349468	MONDO:0024263
UMLS:C0277331	MONDO:0000295
UMLS:C0277110	MONDO:0000294
UMLS:C0009225	MONDO:0000293
UMLS:C1836080	MONDO:0012287
UMLS:C1836074	MONDO:0012288
UMLS:C1836121	MONDO:0012282
UMLS:C1836123	MONDO:0012280
UMLS:C1836118	MONDO:0012285
UMLS:C1836120	MONDO:0012283
UMLS:C1836119	MONDO:0012284
UMLS:CN207018	MONDO:0024257
UMLS:CN200665	MONDO:0024251
UMLS:C1836148	MONDO:0012278
UMLS:C1836133	MONDO:0012279
UMLS:C1836173	MONDO:0012276
UMLS:C1836155	MONDO:0012277
UMLS:C1836217	MONDO:0012270
UMLS:C1836206	MONDO:0012271
UMLS:C0236026	MONDO:0012275
UMLS:C1836202	MONDO:0012272
UMLS:C1836199	MONDO:0012273
UMLS:C1332272	MONDO:0002734
UMLS:C1332259	MONDO:0002735
UMLS:C1333003	MONDO:0002730
UMLS:C4225257	MONDO:0014718
UMLS:C4225258	MONDO:0014717
UMLS:C4225259	MONDO:0014716
UMLS:C4225260	MONDO:0014715
UMLS:C4225256	MONDO:0014719
UMLS:C4275164	MONDO:0014720
UMLS:C4225254	MONDO:0014725
UMLS:C4084841	MONDO:0014724
UMLS:C4225255	MONDO:0014723
UMLS:C1846059	MONDO:0014722
UMLS:C0854917	MONDO:0002729
UMLS:C0751937	MONDO:0002727
UMLS:C0206743	MONDO:0002728
UMLS:C1517119	MONDO:0002744
UMLS:C1517120	MONDO:0002745
UMLS:C1333590	MONDO:0002746
UMLS:C1519869	MONDO:0002740
UMLS:C1519866	MONDO:0002741
UMLS:C1332919	MONDO:0002742
UMLS:C4225449	MONDO:0014707
UMLS:C4225268	MONDO:0014706
UMLS:C4225269	MONDO:0014705
UMLS:C4225270	MONDO:0014704
UMLS:C4225267	MONDO:0014709
UMLS:CN233170	MONDO:0014708
UMLS:C4225266	MONDO:0014710
UMLS:C4225261	MONDO:0014714
UMLS:C4225262	MONDO:0014713
UMLS:C4225263	MONDO:0014712
UMLS:C4225265	MONDO:0014711
UMLS:C1332248	MONDO:0002736
UMLS:C0395865	MONDO:0002737
UMLS:C0271432	MONDO:0002738
UMLS:C0861856	MONDO:0002739
UMLS:C1305256	MONDO:0002710
UMLS:C1333416	MONDO:0002712
UMLS:C0014536	MONDO:0002713
UMLS:C4225271	MONDO:0014703
UMLS:C4225272	MONDO:0014702
UMLS:C4225273	MONDO:0014701
UMLS:C4225274	MONDO:0014700
UMLS:C1334807	MONDO:0002707
UMLS:C0035333	MONDO:0002708
UMLS:C1096639	MONDO:0002703
UMLS:C1511318	MONDO:0002705
UMLS:C0269107	MONDO:0002706
UMLS:C0271558	MONDO:0002721
UMLS:C0346319	MONDO:0002722
UMLS:C0334664	MONDO:0002724
UMLS:C0748616	MONDO:0002720
UMLS:C1332895	MONDO:0002718
UMLS:C1333153	MONDO:0002719
UMLS:C1134515	MONDO:0002716
UMLS:C1334259	MONDO:0002717
UMLS:C0155388	MONDO:0002776
UMLS:C1333417	MONDO:0002778
UMLS:C1333019	MONDO:0002779
UMLS:CN227089	MONDO:0000110
UMLS:C1334271	MONDO:0002772
UMLS:C0003128	MONDO:0002775
UMLS:C0034069	MONDO:0002771
UMLS:C4225220	MONDO:0014759
UMLS:C4225214	MONDO:0014765
UMLS:C1837527	MONDO:0012102
